Better Call Saul,2015,18+,8.8/10,94/100,NETFLIX,non-existing,non-existing,non-existing
Dark,2017,16+,8.8/10,93/100,NETFLIX,non-existing,non-existing,non-existing
Avatar: The Last Airbender,2005,7+,9.3/10,93/100,NETFLIX,non-existing,PRIME_VIDEO,non-existing
Peaky Blinders,2013,18+,8.8/10,93/100,NETFLIX,non-existing,non-existing,non-existing
The Walking Dead,2010,18+,8.2/10,93/100,NETFLIX,non-existing,non-existing,non-existing
Black Mirror,2011,18+,8.8/10,92/100,NETFLIX,non-existing,non-existing,non-existing
The Queen's Gambit,2020,18+,8.6/10,92/100,NETFLIX,non-existing,non-existing,non-existing
Mindhunter,2017,18+,8.6/10,90/100,NETFLIX,non-existing,non-existing,non-existing
Community,2009,7+,8.5/10,90/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
Narcos,2015,18+,8.8/10,90/100,NETFLIX,non-existing,non-existing,non-existing
Shameless,2011,18+,8.5/10,90/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
Money Heist,2017,18+,8.3/10,90/100,NETFLIX,non-existing,non-existing,non-existing
Marvel's Daredevil,2015,18+,8.6/10,90/100,NETFLIX,non-existing,non-existing,non-existing
Lucifer,2016,16+,8.1/10,90/100,NETFLIX,non-existing,non-existing,non-existing
Supernatural,2005,16+,8.4/10,89/100,NETFLIX,non-existing,non-existing,non-existing
The Witcher,2019,18+,8.2/10,89/100,NETFLIX,non-existing,non-existing,non-existing
Ozark,2017,18+,8.4/10,89/100,NETFLIX,non-existing,non-existing,non-existing
The Crown,2016,18+,8.6/10,89/100,NETFLIX,non-existing,non-existing,non-existing
Cobra Kai,2018,16+,8.6/10,89/100,NETFLIX,non-existing,non-existing,non-existing
The Blacklist,2013,16+,8.0/10,88/100,NETFLIX,non-existing,non-existing,non-existing
The Flash,2014,16+,7.6/10,88/100,NETFLIX,non-existing,non-existing,non-existing
Outlander,2014,18+,8.4/10,88/100,NETFLIX,non-existing,non-existing,non-existing
Fullmetal Alchemist: Brotherhood,2009,16+,9.1/10,88/100,NETFLIX,HULU,non-existing,non-existing
The Good Place,2016,16+,8.2/10,88/100,NETFLIX,non-existing,non-existing,non-existing
House of Cards,2013,18+,8.7/10,88/100,NETFLIX,non-existing,non-existing,non-existing
Atypical,2017,16+,8.3/10,88/100,NETFLIX,non-existing,non-existing,non-existing
Grey's Anatomy,2005,16+,7.5/10,87/100,NETFLIX,HULU,non-existing,non-existing
Arrested Development,2003,16+,8.7/10,87/100,NETFLIX,HULU,non-existing,non-existing
Lupin,2021,18+,7.5/10,87/100,NETFLIX,non-existing,non-existing,non-existing
The Umbrella Academy,2019,16+,8.0/10,87/100,NETFLIX,non-existing,non-existing,non-existing
Orange Is the New Black,2013,18+,8.0/10,87/100,NETFLIX,non-existing,non-existing,non-existing
The Vampire Diaries,2009,16+,7.7/10,86/100,NETFLIX,non-existing,non-existing,non-existing
Demon Slayer: Kimetsu no Yaiba,2019,18+,8.7/10,86/100,NETFLIX,HULU,non-existing,non-existing
The Last Dance,2020,16+,9.1/10,86/100,NETFLIX,non-existing,non-existing,non-existing
American Horror Story,2011,18+,8.0/10,86/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
Elite,2018,18+,7.5/10,86/100,NETFLIX,non-existing,non-existing,non-existing
BoJack Horseman,2014,18+,8.7/10,86/100,NETFLIX,non-existing,non-existing,non-existing
Star Trek: The Next Generation,1987,7+,8.6/10,86/100,NETFLIX,HULU,PRIME_VIDEO,non-existing
Broadchurch,2013,18+,8.4/10,86/100,NETFLIX,non-existing,non-existing,non-existing
The IT Crowd,2006,16+,8.5/10,86/100,NETFLIX,non-existing,non-existing,non-existing
When They See Us,2019,18+,8.9/10,86/100,NETFLIX,non-existing,non-existing,non-existing
Schitt's Creek,2015,16+,8.5/10,86/100,NETFLIX,non-existing,non-existing,non-existing
Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5/10,86/100,NETFLIX,non-existing,non-existing,non-existing
Never Have I Ever,2020,16+,7.9/10,86/100,NETFLIX,non-existing,non-existing,non-existing
The 100,2014,16+,7.6/10,86/100,NETFLIX,non-existing,non-existing,non-existing
American Crime Story,2016,18+,8.4/10,85/100,NETFLIX,non-existing,non-existing,non-existing
The Last Kingdom,2015,18+,8.4/10,85/100,NETFLIX,non-existing,non-existing,non-existing
The End of the F***ing World,2017,18+,8.1/10,85/100,NETFLIX,non-existing,non-existing,non-existing
